234: /serverfilter (Function Address: 0x004FECBA, Restriction: 0, Category: 1)
235: /showspelleffects (Function Address: 0x004F9F4D, Restriction: 0, Category: 1)
236: /combatmusic (Function Address: 0x004FA035, Restriction: 0, Category: 1)
237: /mixahead (Function Address: 0x004FA100, Restriction: 0, Category: 1)
238: /guildmotd (Function Address: 0x004F4972, Restriction: 0, Category: 3)
239: /charinfo (Function Address: 0x004F4A7A, Restriction: 0, Category: 1)
240: /safelock (Function Address: 0x004FF689, Restriction: 0, Category: 1)
241: /alternateadv (Function Address: 0x004FED79, Restriction: 0, Category: 0)
242: /targetgroupbuff (Function Address: 0x004FF181, Restriction: 0, Category: 1)
243: /tgb (Function Address: 0x004FF181, Restriction: 0, Category: 1)
244: /hotbutton (Function Address: 0x004FF36A, Restriction: 0, Category: 1)
245: /particledensity (Function Address: 0x004FF0B3, Restriction: 0, Category: 0)
246: /facepick (Function Address: 0x004FFFCB, Restriction: 0, Category: 0)
247: /dismount (Function Address: 0x004FF5A6, Restriction: 0, Category: 1)
248: /rtarget (Function Address: 0x004FF62D, Restriction: 0, Category: 1)
249: /showgrass (Function Address: 0x004FAA05, Restriction: 0, Category: 1)
250: /alias (Function Address: 0x0043777E, Restriction: 0, Category: 1)
251: /hitsmode (Function Address: 0x00500373, Restriction: 0, Category: 1)
252: /clearhits (Function Address: 0x00500DBA, Restriction: 0, Category: 1)
253: /dopropertinting (Function Address: 0x004FFFDD, Restriction: 0, Category: 1)
254: /makeleader (Function Address: 0x004F397D, Restriction: 0, Category: 1)
255: /viewport (Function Address: 0x004FFB00, Restriction: 0, Category: 1)
256: /clearchat (Function Address: 0x004FDB05, Restriction: 0, Category: 1)
257: /bazaar (Function Address: 0x004FF4B0, Restriction: 0, Category: 1)
258: /trader (Function Address: 0x004FF4D4, Restriction: 0, Category: 1)
259: /music (Function Address: 0x004FF4F8, Restriction: 0, Category: 1)
260: /bugreport (Function Address: 0x004FB35A, Restriction: 0, Category: 1)
261: /loadskin (Function Address: 0x004F8655, Restriction: 0, Category: 1)
262: /newui (Function Address: 0x004FFA57, Restriction: 0, Category: 1)
263: /webupdate (Function Address: 0x004F3951, Restriction: 0, Category: 1)
264: /viewpetition (Function Address: 0x004F8E67, Restriction: 0, Category: 1)
265: /deletepetition (Function Address: 0x004F8E8F, Restriction: 0, Category: 1)
266: /raidwindow (Function Address: 0x004F3B0A, Restriction: 0, Category: 0)
267: /makeraidleader (Function Address: 0x004F3B4F, Restriction: 0, Category: 0)
268: /raidinvite (Function Address: 0x004F3B9F, Restriction: 0, Category: 0)
269: /raiddecline (Function Address: 0x004F3BC1, Restriction: 0, Category: 0)
270: /raidaccept (Function Address: 0x004F3BE5, Restriction: 0, Category: 0)
271: /raiddisband (Function Address: 0x004F3C09, Restriction: 0, Category: 0)
272: /setloottype (Function Address: 0x004F3C2B, Restriction: 0, Category: 0)
273: /addraidlooter (Function Address: 0x004F3C51, Restriction: 0, Category: 0)
274: /removeraidlooter (Function Address: 0x004F3C73, Restriction: 0, Category: 0)
275: /rsay (Function Address: 0x004F3C95, Restriction: 0, Category: 0)
276: /quit (Function Address: 0x004FA8C5, Restriction: 0, Category: 0)
